ticker,quarter,sector,sub_sector,is_removal,lm_score,finbert_score,gpt_score_norm,gpt_score_intensity_wt,lm_uncertainty_score,market_cap
INTU,2024Q2,IT,Software - Application,False,0.21578947368421053,0.4239897915995435,0.43157894736842106,1.136842105263158,0.05878277702244576,115884457984
INTU,2024Q3,IT,Software - Application,False,0.2037037037037037,0.404132421300919,0.41234567901234565,0.9851851851851852,0.06495780173129827,115884457984
IR,2023Q4,Industrials,Specialty Industrial Machinery,False,0.1674917491749175,0.38592492008932155,0.26534653465346536,0.6435643564356436,0.07541655238236583,31391520768
IR,2024Q1,Industrials,Specialty Industrial Machinery,False,0.16789215686274508,0.42868461392080304,0.30294117647058827,0.7176470588235295,0.07982811269927924,31391520768
IR,2024Q2,Industrials,Specialty Industrial Machinery,False,0.13187500000000002,0.41398162735858934,0.3175,0.785,0.07150502532966169,31391520768
IR,2024Q3,Industrials,Specialty Industrial Machinery,False,0.15555555555555556,0.38137030585038695,0.2909090909090909,0.7151515151515151,0.06342981171378702,31391520768
IT,2023Q4,IT,Information Technology Services,False,0.2715210355987055,0.4417677300991219,0.42330097087378643,1.058252427184466,0.06515590855638154,11202229248
IT,2024Q1,IT,Information Technology Services,False,0.2078754578754579,0.43949916715232223,0.35454545454545455,0.9136363636363637,0.06606604672191253,11202229248
IT,2024Q2,IT,Information Technology Services,False,0.2522522522522523,0.415243651768243,0.38378378378378375,0.8297297297297297,0.06847809114826209,11202229248
IT,2024Q3,IT,Information Technology Services,False,0.22095959595959597,0.4747730056741134,0.4151515151515151,1.1333333333333333,0.06535351017470363,11202229248
J,2023Q4,Industrials,Engineering & Construction,False,0.25,0.4989338984316284,0.3222222222222222,0.8111111111111112,0.054282057316004724,14866137088
J,2024Q1,Industrials,Engineering & Construction,False,0.203125,0.44684283366950694,0.3625,0.815625,0.04648682069744682,14866137088
J,2024Q2,Industrials,Engineering & Construction,False,0.2345679012345679,0.3863363739585987,0.345679012345679,0.8592592592592594,0.044569221476690714,14866137088
J,2024Q3,Industrials,Engineering & Construction,False,0.260625,0.49345496245077813,0.4125,1.1125,0.03789107437165501,14866137088
JBHT,2023Q4,Industrials,Integrated Freight & Logistics,False,0.144375,0.3787926322896965,0.205,0.5525,0.057492682696978624,19575939072
JBHT,2024Q1,Industrials,Integrated Freight & Logistics,False,0.2239057239057239,0.4757015647488938,0.24242424242424243,0.5777777777777778,0.059331980622404114,19575939072
JBHT,2024Q2,Industrials,Integrated Freight & Logistics,False,0.1674917491749175,0.38422517314331955,0.23168316831683167,0.5326732673267326,0.059650167207467034,19575939072
JBHT,2024Q3,Industrials,Integrated Freight & Logistics,False,0.17399267399267399,0.35615755216433453,0.16043956043956045,0.42417582417582417,0.057675572343480586,19575939072
JBL,2023Q4,IT,Electronic Components,False,0.1705,0.3967012320039794,0.28600000000000003,0.718,0.05798755285916601,27891476480
JBL,2024Q1,IT,Electronic Components,False,0.08796296296296297,0.22903549599168063,0.1037037037037037,0.2796296296296297,0.05765521432493429,27891476480
JBL,2024Q2,IT,Electronic Components,False,0.1792,0.4605934634879231,0.30743801652892566,0.7752066115702481,0.05574010892683233,27891476480
JBL,2024Q3,IT,Electronic Components,False,0.14204545454545456,0.3757514669559896,0.2840909090909091,0.7159090909090909,0.06009447692842637,27891476480
JCI,2023Q4,Industrials,Building Products & Equipment,False,0.2988235294117647,0.511099116438452,0.31058823529411766,0.7552941176470589,0.0765578668318455,80358162432
JCI,2024Q1,Industrials,Building Products & Equipment,False,0.2692307692307692,0.5940998651517125,0.3912087912087912,0.945054945054945,0.06461283562313391,80358162432
JCI,2024Q2,Industrials,Building Products & Equipment,False,0.23882575757575755,0.4400744562894529,0.29545454545454547,0.6727272727272727,0.06184093934316477,80358162432
JCI,2024Q3,Industrials,Building Products & Equipment,False,0.18333333333333332,0.3554660990568144,0.32,0.7942857142857143,0.0630272770798866,80358162432
JKHY,2023Q4,IT,Information Technology Services,False,0.1629251700680272,0.3285139995551079,0.3023255813953488,0.7511627906976746,0.05249105609555867,11096138752
JKHY,2024Q1,IT,Information Technology Services,False,0.14487179487179486,0.3493742883080043,0.2619047619047619,0.6119047619047618,0.059055622739829575,11096138752
JKHY,2024Q2,IT,Information Technology Services,False,0.13257575757575757,0.30071107986573636,0.125,0.425,0.05178092678567554,11096138752
JKHY,2024Q3,IT,Information Technology Services,False,0.18674698795180722,0.43643722034070687,0.3349397590361446,0.8554216867469879,0.06442352222819796,11096138752
KEYS,2023Q4,IT,Scientific & Technical Instruments,False,0.12622549019607843,0.3305439943077919,0.14705882352941177,0.3147058823529412,0.08262596611034377,47863746560
KEYS,2024Q1,IT,Scientific & Technical Instruments,False,0.23205128205128206,0.353132545016706,0.2423076923076923,0.5846153846153846,0.057999042925859216,47863746560
KEYS,2024Q2,IT,Scientific & Technical Instruments,False,0.17647058823529413,0.4299243680365822,0.28627450980392155,0.7450980392156863,0.05976096570296117,47863746560
KEYS,2024Q3,IT,Scientific & Technical Instruments,False,0.21164021164021166,0.33336820924979826,0.18095238095238095,0.45396825396825397,0.053663394842151754,47863746560
KLAC,2023Q4,IT,Semiconductor Equipment & Materials,False,0.12586805555555555,0.35462695711855,0.11041666666666666,0.30833333333333335,0.07332359325828387,189626728448
KLAC,2024Q1,IT,Semiconductor Equipment & Materials,False,0.14532520325203252,0.39189994086443286,0.3048780487804878,0.6878048780487805,0.06125915230099795,189626728448
KLAC,2024Q2,IT,Semiconductor Equipment & Materials,False,0.20402298850574713,0.44521816592963265,0.27816091954022987,0.6045977011494253,0.054376801584389664,189626728448
KLAC,2024Q3,IT,Semiconductor Equipment & Materials,False,0.14958847736625516,0.2816812374376128,0.10617283950617283,0.25679012345679014,0.06364158258727015,189626728448
LDOS,2023Q4,IT,Information Technology Services,False,0.14743589743589744,0.39475049732181317,0.3596153846153846,0.875,0.056849034355744316,19657854976
LDOS,2024Q1,IT,Information Technology Services,False,0.20032362459546926,0.5067393104590981,0.42330097087378643,1.141747572815534,0.0712374022003191,19657854976
LDOS,2024Q2,IT,Information Technology Services,False,0.21079545454545456,0.4356815064093098,0.39545454545454545,1.0227272727272727,0.06909606568983163,19657854976
LDOS,2024Q3,IT,Information Technology Services,False,0.17820512820512818,0.5328912496423492,0.3912087912087912,0.9934065934065934,0.05342275387025057,19657854976
