sub_sector,quarter,lm_mean,finbert_mean,gpt_mean,n_companies,sector
Consumer Electronics,2024Q3,0.04513888888888889,0.31539868798184517,0.22916666666666666,1,IT
Credit Services,2023Q4,0.24078014184397162,0.3488007008216958,0.26595744680851063,1,IT
Credit Services,2024Q1,0.26735395189003436,0.43628691108033213,0.3237113402061855,1,IT
Credit Services,2024Q2,0.22482638888888887,0.37899624680964433,0.26458333333333334,1,IT
Credit Services,2024Q3,0.22124542124542124,0.44529028296736733,0.3956043956043956,1,IT
Diagnostics & Research,2023Q4,0.15638297872340426,0.2782649054152376,0.061702127659574474,1,IT
Diagnostics & Research,2024Q1,0.1892156862745098,0.41702150735894544,0.25882352941176473,1,IT
Diagnostics & Research,2024Q2,0.09958333333333333,0.4742838167352602,0.1975,1,IT
Diagnostics & Research,2024Q3,0.1771885521885522,0.4289012355447719,0.23232323232323232,1,IT
Electronic Components,2023Q4,0.16189078323637146,0.34874925605666557,0.2604010989010989,4,IT
Electronic Components,2024Q1,0.17436311311311312,0.40021783788205667,0.27250515221103455,4,IT
Electronic Components,2024Q2,0.18325311154177432,0.42643005576847215,0.2910733284216371,4,IT
Electronic Components,2024Q3,0.18462546721019737,0.4305592765908578,0.3002257771876904,4,IT
Electronic Gaming & Multimedia,2023Q4,0.21517870664849312,0.40583646728905565,0.38011509919733455,2,IT
Electronic Gaming & Multimedia,2024Q1,0.2037673611111111,0.4608481493488059,0.4273161764705882,2,IT
Electronic Gaming & Multimedia,2024Q2,0.18374333219838834,0.4366362734603739,0.39050051072522984,2,IT
Electronic Gaming & Multimedia,2024Q3,0.18390436250461573,0.44154059887017116,0.39153347048583637,2,IT
Entertainment,2023Q4,0.2232529375386518,0.374505484966537,0.38441558441558443,1,IT
Entertainment,2024Q1,0.25595238095238093,0.36276891232756453,0.3261904761904762,1,IT
Entertainment,2024Q2,0.22849462365591397,0.3494908427444076,0.36774193548387096,1,IT
Entertainment,2024Q3,0.21208333333333332,0.4554851898632478,0.43499999999999994,1,IT
Financial Data & Stock Exchanges,2023Q4,0.13802083333333334,0.2780016201577382,0.240625,1,IT
Financial Data & Stock Exchanges,2024Q1,0.16666666666666666,0.354872286081728,0.29333333333333333,1,IT
Financial Data & Stock Exchanges,2024Q2,0.13333333333333333,0.3141544322276281,0.36,1,IT
Financial Data & Stock Exchanges,2024Q3,0.18371212121212122,0.451484642711214,0.38181818181818183,1,IT
Information Technology Services,2023Q4,0.17567460135460555,0.3835006974305524,0.31404078247338707,9,IT
Information Technology Services,2024Q1,0.17530851984696147,0.4429157205681963,0.3002837007597069,9,IT
Information Technology Services,2024Q2,0.18252918257871042,0.40831499135943755,0.30017856463639414,9,IT
Information Technology Services,2024Q3,0.17293119100051838,0.4489263358161696,0.3245263693194352,9,IT
Internet Content & Information,2023Q4,0.14533355985955376,0.4005437995568776,0.40861365953109074,2,IT
Internet Content & Information,2024Q1,0.2658079342041606,0.4575055164813906,0.4056396433754924,2,IT
Internet Content & Information,2024Q2,0.1561302681992337,0.43148996309917853,0.4109195402298851,2,IT
Internet Content & Information,2024Q3,0.1934407096171802,0.48512360535420296,0.44255835667600374,2,IT
Internet Retail,2023Q4,0.15271739130434783,0.37731174809817714,0.36086956521739133,2,IT
Internet Retail,2024Q1,0.13197431302270013,0.44918583234944,0.38243727598566307,2,IT
